Provider/Layer	URL
OpenStreetMap Mapnick	http://tile.openstreetmap.org/{z}/{x}/{y}.png
OSM Cycle Map	http://tile.thunderforest.com/cycle/{z}/{x}/{y}.png
OSM Black and White	http://tiles.wmflabs.org/bw-mapnik/{z}/{x}/{y}.png
Esri Imagery/Satellite	https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}
Esri Streets	https://server.arcgisonline.com/ArcGIS/rest/services/World_Street_Map/MapServer/tile/{z}/{y}/{x}
Esri Topo	https://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x}
Google Satellite	https://mt1.google.com/vt/lyrs=s&x={x}&y={y}&z={z}
Google Streets	https://mt1.google.com/vt/lyrs=m&x={x}&y={y}&z={z}
Carto Positron	https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/{z}/{x}/{y}.png
Stamen Terrain	http://a.tile.stamen.com/terrain/{z}/{x}/{y}.png
